metoda,distinguish,look,perceive,see,view
analiza pokrycia częstość,0.2,0.2,0.23529411764705882,0.22727272727272727,0.3181818181818182
analiza pokrycia długość,0.125,0.15789473684210525,0.15789473684210525,0.18421052631578946,0.2571428571428571
wektory współwysępowania,0.2800870700121471,0.5465993178943709,0.23692604040550888,0.31829986687862905,0.3898178956302013
